45217,11129,5192,360859
284188,267836,10184,50908
243239,81153,11303,45410
308396,86350,133801,400910
39490,20581,3107,422026
324186,106897,168527,442509
53643,39764,13349,338822
355655,159295,72586,441075
120550,99715,18642,47759
212083,152792,59027,286431
434398,408296,24135,441135
188586,176893,7860,378820
261193,36258,194776,41737
39703,11798,27710,256406
364296,85641,192005,442606
26445,5665,9241,103961
320225,234658,61042,12518
359873,224433,114578,413735
199300,78739,94079,39928
348474,120852,110166,145368
307735,163789,27226,462434
414899,34374,57655,161804
233411,178574,43449,121477
279608,1354,202456,84726
13615,3181,3724,348887
354279,145326,34534,319936
350744,98847,25726,239145
223990,113245,105192,277223
428084,94988,259363,122444
87272,13947,20315,140538
298705,225627,43711,218938
314967,97693,85112,70548
446435,347931,59306,346277
101754,101089,574,393672
85831,17297,18113,310046
166443,96938,55205,361549
27657,3260,10963,154283
411449,162029,147083,154394
493555,168813,32702,210454
214284,120642,62960,118209
490364,33189,40758,463367
242158,31569,199511,175284
207543,183656,5553,164057
226827,36205,183378,497207
469548,290324,170204,229047
308691,180945,58657,285768
478764,67824,39190,73525
313994,158579,133442,252519
283441,69776,47466,286258
243819,115238,106852,378237
470367,333500,116256,226031
198085,20933,75490,498148
44482,24796,14451,156091
202078,151161,44056,92486
161196,5066,154575,460139
33883,5091,25795,7128
314302,178152,86972,425970
399813,281887,92796,447037
12021,3258,2456,37085
58268,12674,16664,13861
80342,49574,2327,147576
357067,320396,29235,309416
305125,289886,8389,475323
263517,254724,4468,112642
204241,123068,57968,358764
98577,84575,2643,270407
91544,15917,1270,359054
31777,31371,250,193784
50574,46806,1008,247620
166096,163169,2074,451665
299205,126163,160083,405454
103875,19267,58967,205503
387071,32055,121424,462434
275994,138034,73874,180484
209840,81393,26934,315539
381711,219472,156851,28950
152845,100364,41461,410109
324352,285605,37126,3194
461700,122460,43668,221683
398401,97162,59069,78042
53516,40850,8324,345087
482495,143487,256355,483909
268992,29941,119974,446175
490005,175794,300064,121015
62865,3993,36476,281204
49989,14445,24213,259979
123831,14652,41961,108045
145344,100853,13359,487295
495894,331584,107266,434610
100167,86278,11533,96589
129067,60607,9816,240108
383957,220422,27151,469517
461632,327335,64819,129288
160065,65819,90933,300107
207700,99533,77295,257729
350727,224920,116363,343404
307128,126604,131596,348591
489604,42511,309406,19229
168604,106428,30032,160588
420790,361950,21105,364804
277171,94511,40833,325573
189708,110412,30183,466622
138692,38911,9689,341109
198418,145176,3831,239912
156666,3165,74711,187106
309421,50714,182211,330507
418039,9948,237305,215563
190565,71298,74505,218970
397449,474,56815,488163
298799,37619,119844,358084
177096,126892,46741,16429
329346,48812,11818,303110
147418,5481,78222,376657
328364,232533,58720,38794
37165,21555,13420,79341
24901,23354,1545,329660
458576,305986,107548,411025
435149,200829,90599,394819
132140,65511,46750,148385
347427,322389,7804,87499
208936,122982,9293,140542
82885,64725,17866,397240
116994,12267,44068,113058
470748,413719,33853,391092
37992,9806,16124,134244
16261,1963,14095,392276
197036,168044,27091,400024
48517,9144,37580,374644
180692,93927,26888,91952
480244,140713,109085,293087
175530,104358,14988,384987
281895,185403,49321,95837
242434,181864,9448,221195
391871,368143,23202,190645
47111,2018,11961,64733
311907,37196,229110,511
267101,146519,58260,317167
447410,97537,287738,174602
283504,165987,22601,172793
248378,162980,35722,131037
422970,366897,4335,9449
392742,13078,202386,307878
114030,21161,68701,132446
41493,20836,4793,218446
487092,234719,141117,185146
273382,204191,60257,302057
287932,274226,13607,497102
429965,18013,229278,29598
499109,401624,3469,370765
466676,414715,8880,168295
40055,16325,23528,302676
164175,116559,27802,218999
492259,338514,115192,449870
53224,36486,3773,426275
333851,91423,20740,302363
111434,26634,60365,359409
483822,161792,238899,311340
426454,178344,72687,439955
467017,3822,205398,222354
484803,255444,177082,384176
266036,112375,114977,416347
159470,77249,34834,323644
326329,212707,91432,317258
384361,232863,140599,462978
192082,48243,93500,469210
6726,4684,867,322709
80071,62534,7210,40731
145863,124236,1707,313219
85190,33453,2282,207630
7459,3483,3356,98119
148831,121635,4490,352294
210467,197385,11793,18382
16072,2402,12154,452373
482273,277059,67451,297933
237278,32153,160678,124190
152762,86897,26733,284874
223100,20365,184993,108780
403759,235000,109548,40997
147801,86017,17853,61256
242548,156168,11124,205580
458483,324953,101497,353223
449364,15004,185149,257093
166460,38415,125756,264978
363196,84632,20652,464809
435247,286475,113001,267394
260594,98818,152251,364480
274833,241002,13335,216788
455802,340513,89114,285669
424663,299276,120417,205712
167744,159699,6307,323733
187880,45989,15086,274951
355058,165741,23224,293910
314307,231435,37337,120403
39855,10410,11566,302039
332737,322234,10014,113950
44120,4264,3928,190811
170005,169858,93,436280
445227,403661,27449,154434
474064,359719,44245,190987
92665,55405,28139,403500
278450,224195,47562,196522
176568,123717,13447,19128
356703,145191,36410,103632
39637,12792,17225,108125
318677,10681,177039,43752
471427,400316,66635,355842
348358,193075,134456,429751
247641,216150,20459,232313
251161,163376,5474,394573
442656,140131,107841,209965
122582,57491,46132,457341
185995,109925,62544,166188
319899,1208,30676,129625
126816,9654,34067,224542
402258,85830,237474,416901
142451,4409,15060,218602
182707,62792,100114,131534
427969,335302,75014,296248
354241,200138,66316,404583
221650,137167,11486,252040
89773,57697,18598,247758
30554,5256,6747,185837
164534,76520,45723,63895
178556,71269,95691,52806
151394,20242,21258,434574
457124,451155,602,270861
172529,169508,223,242701
338254,96721,145225,219409
467467,41284,284016,295689
41910,23040,15353,116574
310747,139214,162953,152320
336926,289104,25864,241674
423406,237687,102279,301182
162339,54262,20842,468814
316826,110792,198290,383617
470025,134618,223901,25666
55328,3373,41671,306694
336797,196215,72177,157432
24466,21898,757,497156
102155,6393,82262,437221
286774,243963,38693,84752
488653,337891,94197,332714
264480,158001,56385,11103
225913,16088,79850,55640
416972,276721,131279,488250
427651,170682,179136,487756
196055,139523,7035,41242
144354,63380,72219,430260
175016,98575,9343,84837
60426,18879,15438,261760
258777,34741,112838,323823
275620,252941,10119,293262
443438,175861,108757,404650
144767,79268,32465,76106
107143,17312,24883,122574
423229,134352,78202,187343
211431,12076,103104,282391
455026,231483,180200,17085
16878,6038,5953,272944
412143,169550,947,7523
491502,319143,152779,47022
92268,39678,33686,405429
328619,175607,95442,171084
39975,10828,5288,237782
424957,362001,4392,380405
48849,11860,33897,194249
370196,301469,18222,288912
467062,255564,98081,236870
355268,51084,181871,482768
317723,201351,36034,476532
420309,209805,88882,45403
370130,11611,294883,278124
60329,46735,8737,399182
301800,114575,25206,363296
34562,26642,1222,260333
34155,32442,1063,176896
296472,93020,88676,22234
361954,78376,265563,270537
69244,50872,16767,362123
312586,245661,20876,281434
459617,398844,23141,271770
332352,303336,737,433003
439244,250158,20202,119062
491247,199860,167406,39735
250104,190622,2695,98864
49534,15656,16513,242134
372658,346199,25382,263234
286444,25825,92564,437165
301235,90229,176987,243879
214704,213736,904,374316
